month,market,code,name,revenue_k_twd
2005-01-01,sii,2611,志信,57637.0
2005-01-01,sii,2612,中航,121361.0
2005-01-01,sii,2613,中櫃,124312.0
2005-01-01,sii,2614,東森,1385500.0
2005-01-01,sii,2615,萬海,3959720.0
2005-01-01,sii,2616,山隆通運,639195.0
2005-01-01,sii,2617,台航,313972.0
2005-01-01,sii,2618,長榮航,7057893.0
2005-01-01,sii,5607,遠雄儲,44143.0
2005-01-01,sii,5608,四維航業,31165.0
2005-01-01,sii,2701,萬企,20384.0
2005-01-01,sii,2702,華園,14086.0
2005-01-01,sii,2704,國賓,250364.0
2005-01-01,sii,2705,六福,173214.0
2005-01-01,sii,2706,第一店,21455.0
2005-01-01,sii,2707,晶華酒店,246468.0
2005-01-01,sii,2801,彰化銀行,3782156.0
2005-01-01,sii,2807,新竹商銀,1265595.0
2005-01-01,sii,2809,台南企銀,425142.0
