code,industry,market
2727,Tourism,sii
2731,Tourism,sii
2739,Tourism,sii
2748,Tourism,sii
2753,Tourism,sii
5706,Tourism,sii
7705,Tourism,sii
7760,Tourism,sii
8940,Tourism,sii
9943,Tourism,sii
2801,Finance & insurance,sii
2812,Finance & insurance,sii
2816,Finance & insurance,sii
2820,Finance & insurance,sii
2832,Finance & insurance,sii
2834,Finance & insurance,sii
2836,Finance & insurance,sii
2838,Finance & insurance,sii
2845,Finance & insurance,sii
2849,Finance & insurance,sii
2850,Finance & insurance,sii
2851,Finance & insurance,sii
2852,Finance & insurance,sii
2855,Finance & insurance,sii
2880,Finance & insurance,sii
2881,Finance & insurance,sii
2882,Finance & insurance,sii
2883,Finance & insurance,sii
2884,Finance & insurance,sii
2885,Finance & insurance,sii
2886,Finance & insurance,sii
2887,Finance & insurance,sii
2889,Finance & insurance,sii
2890,Finance & insurance,sii
2891,Finance & insurance,sii
2892,Finance & insurance,sii
2897,Finance & insurance,sii
5876,Finance & insurance,sii
5880,Finance & insurance,sii
6005,Finance & insurance,sii
6024,Finance & insurance,sii
2901,Trading & retail,sii
2903,Trading & retail,sii
2905,Trading & retail,sii
2906,Trading & retail,sii
2908,Trading & retail,sii
2910,Trading & retail,sii
2911,Trading & retail,sii
2912,Trading & retail,sii
2913,Trading & retail,sii
2915,Trading & retail,sii
2945,Trading & retail,sii
8443,Trading & retail,sii
2072,Green energy,sii
3708,Green energy,sii
4582,Green energy,sii
5292,Green energy,sii
6581,Green energy,sii
6771,Green energy,sii
6869,Green energy,sii
6873,Green energy,sii
6923,Green energy,sii
6944,Green energy,sii
6947,Green energy,sii
6951,Green energy,sii
6969,Green energy,sii
6994,Green energy,sii
7610,Green energy,sii
7740,Green energy,sii
8341,Green energy,sii
8422,Green energy,sii
8438,Green energy,sii
8473,Green energy,sii
8476,Green energy,sii
9930,Green energy,sii
9955,Green energy,sii
3130,Digital cloud,sii
6165,Digital cloud,sii
6614,Digital cloud,sii
6689,Digital cloud,sii
6902,Digital cloud,sii
6906,Digital cloud,sii
7721,Digital cloud,sii
7722,Digital cloud,sii
7765,Digital cloud,sii
8454,Digital cloud,sii
8487,Digital cloud,sii
1432,Sports & leisure,sii
1598,Sports & leisure,sii
1736,Sports & leisure,sii
4536,Sports & leisure,sii
5306,Sports & leisure,sii
6670,Sports & leisure,sii
8462,Sports & leisure,sii
8478,Sports & leisure,sii
9904,Sports & leisure,sii
9910,Sports & leisure,sii
9914,Sports & leisure,sii
9921,Sports & leisure,sii
2062,Home & living,sii
3557,Home & living,sii
6754,Home & living,sii
8464,Home & living,sii
9911,Home & living,sii
9924,Home & living,sii
9934,Home & living,sii
9935,Home & living,sii
1342,Other,sii
1416,Other,sii
1435,Other,sii
1437,Other,sii
1443,Other,sii
1516,Other,sii
2348,Other,sii
2496,Other,sii
2514,Other,sii
2614,Other,sii
2904,Other,sii
3040,Other,sii
6184,Other,sii
6464,Other,sii
6504,Other,sii
6585,Other,sii
6592,Other,sii
6625,Other,sii
6655,Other,sii
6901,Other,sii
6914,Other,sii
6952,Other,sii
6958,Other,sii
7855,Other,sii
8033,Other,sii
8463,Other,sii
8481,Other,sii
9902,Other,sii
9905,Other,sii
9907,Other,sii
9917,Other,sii
9919,Other,sii
9925,Other,sii
9927,Other,sii
9928,Other,sii
9929,Other,sii
9933,Other,sii
9938,Other,sii
9939,Other,sii
9940,Other,sii
9941,Other,sii
9942,Other,sii
9944,Other,sii
9945,Other,sii
7780,Food,sii
7788,Electronic components,sii
7786,Green energy,sii
7791,Food,sii
7799,Biotech & medical,sii
7803,Biotech & medical,sii
7795,Electronic components,sii
7689,Communications & networking,sii
7818,Green energy,sii
7821,Automotive,sii
7822,Semiconductors,sii
4195,Biotech & medical,sii
3717,Automotive,sii
7812,Communications & networking,sii
7835,Digital cloud,sii
1264,Food,otc
1294,Food,otc
1295,Food,otc
1780,Food,otc
1796,Food,otc
4205,Food,otc
4207,Food,otc
6846,Food,otc
7743,Food,otc
4303,Plastics,otc
4304,Plastics,otc
4305,Plastics,otc
9950,Plastics,otc
4401,Textiles,otc
4402,Textiles,otc
4406,Textiles,otc
4413,Textiles,otc
4417,Textiles,otc
4420,Textiles,otc
4432,Textiles,otc
4433,Textiles,otc
6506,Textiles,otc
1570,Electrical machinery,otc
1580,Electrical machinery,otc
1586,Electrical machinery,otc
1599,Electrical machinery,otc
2066,Electrical machinery,otc
2067,Electrical machinery,otc
2070,Electrical machinery,otc
2235,Electrical machinery,otc
3162,Electrical machinery,otc
3226,Electrical machinery,otc
3379,Electrical machinery,otc
3685,Electrical machinery,otc
4502,Electrical machinery,otc
4503,Electrical machinery,otc
4506,Electrical machinery,otc
4510,Electrical machinery,otc
4513,Electrical machinery,otc
4523,Electrical machinery,otc
4527,Electrical machinery,otc
